Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RELIANCE,EQ,30-Jan-18,964.5,965.8,965.8,949,950,950.4,956.43,4198139,4015232068,67935,2568921,61.19
RELIANCE,EQ,31-Jan-18,950.4,950,964.5,941.55,962,961.3,958.82,5738209,5501909579,118233,3180140,55.42
RELIANCE,EQ,1-Feb-18,961.3,963.25,972.6,936.6,945,943.85,955.08,7554587,7215260532,126370,3415032,45.2
RELIANCE,EQ,2-Feb-18,943.85,935,943.95,901,901.9,904.35,917.5,13242095,12149575193,233056,8153043,61.57
RELIANCE,EQ,5-Feb-18,904.35,894,912.5,881.8,907,902.15,902.03,8773525,7913964633,208567,4974348,56.7
RELIANCE,EQ,6-Feb-18,902.15,877,898,871,893.4,892.1,884.19,11000567,9726627414,223859,5774757,52.5
RELIANCE,EQ,7-Feb-18,892.1,902.55,905.4,890,892.45,894.4,897.52,7100838,6373167727,167780,3968480,55.89
RELIANCE,EQ,8-Feb-18,894.4,897.9,910.65,892.35,906.2,904.55,903.17,6320734,5708726206,184671,3350338,53.01
RELIANCE,EQ,9-Feb-18,904.55,889,902,886,899.95,897.85,895.97,5294279,4743532840,134990,2528662,47.76
RELIANCE,EQ,12-Feb-18,897.85,903,918.2,902.05,914,915.5,910.17,5429792,4942032259,117785,2864468,52.75
RELIANCE,EQ,14-Feb-18,915.5,923,942.5,921,929,933.65,930.9,10170959,9468181695,207422,5714896,56.19
RELIANCE,EQ,15-Feb-18,933.65,937.65,945.75,928.15,936.1,935.65,938.06,6109454,5731058556,110875,2385409,39.04
RELIANCE,EQ,16-Feb-18,935.65,939.6,942.6,918.1,920.45,921.3,930.32,4401672,4094973055,89938,1942920,44.14
RELIANCE,EQ,19-Feb-18,921.3,921,932,913.55,928.3,927,922.39,4087936,3770665441,76979,1510482,36.95
RELIANCE,EQ,20-Feb-18,927,929,929.55,918.8,919.9,921.1,923.11,3866919,3569595828,73125,1883636,48.71
RELIANCE,EQ,21-Feb-18,921.1,930,932.5,922.15,929,929.35,927.21,5448230,5051677024,115472,3286057,60.31
RELIANCE,EQ,22-Feb-18,929.35,922,931,920,921,924.35,924.97,5118850,4734779151,95362,2583649,50.47
RELIANCE,EQ,23-Feb-18,924.35,925.4,938,922.75,934,934.25,931.77,4850839,4519877657,107785,2720599,56.09
RELIANCE,EQ,26-Feb-18,934.25,939,944.9,936.6,938.75,938.7,941.3,3856478,3630113759,76681,2134416,55.35
RELIANCE,EQ,27-Feb-18,938.7,939,955.8,938.35,951.5,950.5,949.05,6410097,6083477042,97701,3270098,51.01
RELIANCE,EQ,28-Feb-18,950.5,945.95,957.1,943.2,951,954.55,953.33,25898694,24689973325,245932,19148342,73.94
RELIANCE,EQ,1-Mar-18,954.55,949.75,959.9,945.95,948.05,948.4,951.47,4094652,3895948304,82999,2074420,50.66
RELIANCE,EQ,5-Mar-18,948.4,943,950.15,921.6,922.65,924.1,932.35,5634893,5253681530,105746,2770783,49.17
RELIANCE,EQ,6-Mar-18,924.1,929,936.2,905.1,908.65,910.85,926.46,7323680,6785121099,119522,4340221,59.26
RELIANCE,EQ,7-Mar-18,910.85,909.25,909.25,888.05,892.4,889.75,898.07,7247708,6508943483,162870,4114512,56.77
RELIANCE,EQ,8-Mar-18,889.75,897.65,914.5,893.3,911,911.45,903.98,6072983,5489882190,110989,2821293,46.46
RELIANCE,EQ,9-Mar-18,911.45,914.9,919.35,911.05,915,913.1,914.72,4863577,4448821265,110348,2706076,55.64
RELIANCE,EQ,12-Mar-18,913.1,920,933.1,917.55,931.95,930.3,924.01,3801407,3512520944,70971,1844960,48.53
RELIANCE,EQ,13-Mar-18,930.3,931.9,936,921.35,934,931.85,929.52,5096825,4737580484,72560,2290961,44.95
RELIANCE,EQ,14-Mar-18,931.85,928.8,932.05,919.2,931.55,929.05,923.15,6731530,6214195309,79487,3237828,48.1
RELIANCE,EQ,15-Mar-18,929.05,925,929.45,910,911,911.8,918.37,5811424,5337047119,70975,2849596,49.03
RELIANCE,EQ,16-Mar-18,911.8,909,909.7,886.05,904,900.05,898.82,14087564,12662129928,221824,9248266,65.65
RELIANCE,EQ,19-Mar-18,900.05,901,906.9,892,895,895.5,898.02,5774392,5185519992,111279,2595730,44.95
RELIANCE,EQ,20-Mar-18,895.5,893.3,904,887.05,892,889.8,894.96,6945721,6216141684,111138,3726794,53.66
RELIANCE,EQ,21-Mar-18,889.8,894.85,902.35,893.3,896,896.9,897.27,6727261,6036186652,126549,3864583,57.45
RELIANCE,EQ,22-Mar-18,896.9,896,911.95,895.75,908.9,908.15,907.73,10116965,9183446074,135445,6244257,61.72
RELIANCE,EQ,23-Mar-18,908.15,890.6,900,889.1,892.5,893.9,894.9,10729694,9601998761,115124,7669459,71.48
RELIANCE,EQ,26-Mar-18,893.9,893.95,904.3,892.5,901.5,901.1,898.73,6047262,5434879313,121961,3636901,60.14
RELIANCE,EQ,27-Mar-18,901.1,907.2,910.75,897,898.3,899.8,903.51,6939577,6269986775,107921,4642015,66.89
RELIANCE,EQ,28-Mar-18,899.8,895.8,895.85,880,881.6,882.7,886.65,8759586,7766716375,164624,5760321,65.76
RELIANCE,EQ,2-Apr-18,882.7,893,900.95,886.5,892.95,892.95,894.38,5712065,5108762641,138967,3627851,63.51
RELIANCE,EQ,3-Apr-18,892.95,891,901.7,885.25,901,899.55,891.67,6364728,5675268232,106660,4357033,68.46
RELIANCE,EQ,4-Apr-18,899.55,904.7,911.8,892.05,893.25,894.9,901.57,6498407,5858765070,90218,3792126,58.35
RELIANCE,EQ,5-Apr-18,894.9,905.1,910,903.5,908,908.2,907.4,3898676,3537659970,76386,2302327,59.05
RELIANCE,EQ,6-Apr-18,908.2,908,918.5,905,911.95,911,912.81,4418462,4033221156,76788,2226588,50.39
RELIANCE,EQ,9-Apr-18,911,912.55,919,912.55,915,916,916.01,3572251,3272222860,73839,2250338,62.99
RELIANCE,EQ,10-Apr-18,916,918.4,923.9,914.15,915.5,917.05,919.12,3865402,3552772955,80941,2362123,61.11
RELIANCE,EQ,11-Apr-18,917.05,921.8,932.75,916.05,931.75,930.85,927.88,6007539,5574246154,109450,3174364,52.84
RELIANCE,EQ,12-Apr-18,930.85,929.85,936.65,924.2,927.1,928.7,929.39,4947725,4598362820,81750,2709544,54.76
RELIANCE,EQ,13-Apr-18,928.7,932.7,941.7,928.7,939.85,938.85,937.05,5767984,5404908210,102901,3471103,60.18
RELIANCE,EQ,16-Apr-18,938.85,934.45,940,928.5,938.1,937.05,932.57,4084450,3809041574,104874,2628073,64.34
RELIANCE,EQ,17-Apr-18,937.05,940,947.2,936,945,944.25,942.33,4388713,4135607266,107244,2792594,63.63
RELIANCE,EQ,18-Apr-18,944.25,945.25,948.2,935.05,937.7,938,941.25,3365196,3167484001,90717,2111686,62.75
RELIANCE,EQ,19-Apr-18,938,939.1,945,935,942,942.3,941.25,4481413,4218134286,49239,2947293,65.77
RELIANCE,EQ,20-Apr-18,942.3,938,941.85,921.2,930,927.9,928.21,3349519,3109071704,72993,1740154,51.95
RELIANCE,EQ,23-Apr-18,927.9,930,944.35,928.5,935,936,936.28,3508515,3284954149,74884,1921427,54.76
RELIANCE,EQ,24-Apr-18,936,935.8,975.7,935,971.6,970.05,959.86,9107264,8741718169,161209,3460005,37.99
RELIANCE,EQ,25-Apr-18,970.05,973.65,981.8,963.55,972,970.5,971,6436620,6249960891,125144,2040807,31.71
RELIANCE,EQ,26-Apr-18,970.5,973,988,962.25,973.15,975.35,977.14,15588001,15231697346,191487,8531489,54.73
RELIANCE,EQ,27-Apr-18,975.35,989.8,1011,985.5,996.5,996.3,999.97,11666267,11665872661,173541,4260032,36.52
RELIANCE,EQ,30-Apr-18,996.3,982,992.6,960,963.5,963.3,969.39,8871802,8600270171,170165,3221915,36.32
RELIANCE,EQ,2-May-18,963.3,967,979.2,965.05,974.8,972.7,973.34,6117761,5954655105,148402,3572199,58.39
RELIANCE,EQ,3-May-18,972.7,977.9,977.9,959.25,962,961.6,964.27,3947546,3806512719,84753,1962554,49.72
RELIANCE,EQ,4-May-18,961.6,962.85,964.7,950,953.6,953.95,954.68,3795692,3623686170,119312,2179011,57.41
RELIANCE,EQ,7-May-18,953.95,958.85,973.25,956.35,971.9,971,963.82,3512532,3385450726,87310,1558672,44.37
RELIANCE,EQ,8-May-18,971,977.5,982,965.2,966,967.1,972.41,4934036,4797914834,104703,2886310,58.5
RELIANCE,EQ,9-May-18,967.1,965.9,984.3,962.25,976.2,976.7,973.59,4494423,4375739607,96826,2151911,47.88
RELIANCE,EQ,10-May-18,976.7,980,984.6,974.25,979.15,981.15,980.67,4014645,3937024260,74806,2062636,51.38
RELIANCE,EQ,11-May-18,981.15,981.25,991.3,977.75,986,989.25,986.84,4011516,3958724055,76911,1936607,48.28
RELIANCE,EQ,14-May-18,989.25,991.95,991.95,976.7,984.95,986.6,984.23,2579561,2538890944,56447,1192913,46.24
RELIANCE,EQ,15-May-18,986.6,983.05,1000,976.65,978.55,978.95,988.75,4800923,4746908410,100265,2160312,45
RELIANCE,EQ,16-May-18,978.95,974,974,952.45,954.4,956.15,962.49,8613363,8290313023,116722,4335906,50.34
RELIANCE,EQ,17-May-18,956.15,959.35,960,941.5,944,945.35,949.68,4733477,4495273470,119057,2896065,61.18
RELIANCE,EQ,18-May-18,945.35,945.6,953.5,932,934.5,933.85,941.11,5230037,4922041685,117002,2639728,50.47
RELIANCE,EQ,21-May-18,933.85,930.75,935.7,922.1,934.8,931.35,927.05,6624893,6141603388,83977,3776097,57
RELIANCE,EQ,22-May-18,931.35,933.15,934,925,927.1,926.75,930.25,5170585,4809925289,78323,2425892,46.92
RELIANCE,EQ,23-May-18,926.75,926,926,909.15,913.8,912.25,917.49,4567562,4190710347,111713,2429374,53.19
RELIANCE,EQ,24-May-18,912.25,914,921,910.15,917.95,915.85,916.46,5317983,4873723841,96010,2683128,50.45
RELIANCE,EQ,25-May-18,915.85,916,923.4,914.45,922,920.8,920.3,8129520,7481573041,94418,4874804,59.96
RELIANCE,EQ,28-May-18,920.8,924.9,927,918.1,919.95,920.4,922.21,5197835,4793495121,98317,2438491,46.91
RELIANCE,EQ,29-May-18,920.4,921.5,928,914.4,916.9,917.45,920.32,8173396,7522151497,113106,5810543,71.09
RELIANCE,EQ,30-May-18,917.45,914.85,923.2,906.6,915.8,916.1,915.8,5991222,5486773045,135401,3269611,54.57
RELIANCE,EQ,31-May-18,916.1,921,922.3,914.55,920.3,921.35,921.07,16951801,15613865590,166442,13107087,77.32
RELIANCE,EQ,1-Jun-18,921.35,920,935.75,918.45,928.6,930.55,926.94,8765835,8125389216,136941,4890383,55.79
RELIANCE,EQ,4-Jun-18,930.55,933.4,944,930.55,941.5,940.85,939.73,5600357,5262829395,237083,2937842,52.46
RELIANCE,EQ,5-Jun-18,940.85,942.8,955,941,948.9,947.65,949.46,7971524,7568655588,169905,4928650,61.83
RELIANCE,EQ,6-Jun-18,947.65,947,956,942.65,954,954.4,952.01,4189483,3988423353,108083,2708703,64.65
RELIANCE,EQ,7-Jun-18,954.4,954.9,976,954.45,970.85,971.35,969.3,6857300,6646752363,202014,4501975,65.65
RELIANCE,EQ,8-Jun-18,971.35,966.35,986.55,960.6,983.1,984.35,974.6,6532599,6366671932,143699,3812961,58.37
RELIANCE,EQ,11-Jun-18,984.35,987.1,999.95,979.05,980.05,982.65,991.25,6866053,6806007440,169285,4298747,62.61
RELIANCE,EQ,12-Jun-18,982.65,983.4,1000,980.3,999.4,997.15,991.14,7445221,7379266303,150601,4766496,64.02
RELIANCE,EQ,13-Jun-18,997.15,1000,1005.9,989.5,1002.5,1002.5,999.25,5926020,5921557586,143644,2871545,48.46
RELIANCE,EQ,14-Jun-18,1002.5,997.45,1011.8,987.4,1007,1007.95,1001.22,5484867,5491573757,130819,2218107,40.44
RELIANCE,EQ,15-Jun-18,1007.95,1006,1023.5,999.25,1012.45,1014.2,1015.48,11294702,11469522694,227359,6385232,56.53
RELIANCE,EQ,18-Jun-18,1014.2,1008.8,1020.45,1007,1014.1,1015.55,1014.97,5652374,5737016772,114998,3492837,61.79
RELIANCE,EQ,19-Jun-18,1015.55,1013.9,1014.8,993.65,995.6,996.05,1002.7,6346101,6363262362,169205,3674239,57.9
RELIANCE,EQ,20-Jun-18,996.05,996,1022.9,994.85,1019.2,1019.25,1015.65,7193824,7306438843,176300,3287906,45.7
RELIANCE,EQ,21-Jun-18,1019.25,1023.45,1036,1021.3,1031.6,1031.95,1030.56,10509756,10830925855,218105,5465096,52
RELIANCE,EQ,22-Jun-18,1031.95,1028.4,1029.2,1008.45,1011.65,1012.5,1014.6,16169978,16406133080,159059,7986234,49.39
RELIANCE,EQ,25-Jun-18,1012.5,1011.4,1016.5,1002.3,1005,1004.45,1010.49,5197694,5252204246,93795,2676512,51.49
RELIANCE,EQ,26-Jun-18,1004.45,1006,1006,975.25,978.3,978.95,986.72,8068585,7961465287,176505,5009123,62.08
RELIANCE,EQ,27-Jun-18,978.95,978.5,985.4,962.7,963.7,965.85,973.82,8958555,8724005246,179753,4764722,53.19
RELIANCE,EQ,28-Jun-18,965.85,962,968.5,940.3,948,944.95,952.67,8581234,8175043919,156175,4508940,52.54
RELIANCE,EQ,29-Jun-18,944.95,949.1,975.5,949,973.2,972.45,967.48,7966401,7707335240,152587,4374071,54.91
RELIANCE,EQ,2-Jul-18,972.45,972.35,972.35,957,960.05,960.6,962.14,6660916,6408701995,83823,4155523,62.39
RELIANCE,EQ,3-Jul-18,960.6,965,978.45,960.35,972.2,971.3,972.1,5067261,4925883688,117456,1809418,35.71
RELIANCE,EQ,4-Jul-18,971.3,971.8,992,971,991,990.1,982.92,5000724,4915326240,114594,1659398,33.18
RELIANCE,EQ,5-Jul-18,990.1,997,1008.4,958.6,964.65,964.5,988.25,18719353,18499398246,309468,5001526,26.72
RELIANCE,EQ,6-Jul-18,964.5,964.75,983,964.5,977.5,977.55,977.82,9161266,8958074813,164393,4334629,47.31
RELIANCE,EQ,9-Jul-18,977.55,987.1,1000,983.5,996,997.1,991.93,5170189,5128442011,126126,2125680,41.11
RELIANCE,EQ,10-Jul-18,997.1,1002.75,1028.5,1000,1027.5,1025.7,1018.86,10444513,10641500107,204258,5119543,49.02
RELIANCE,EQ,11-Jul-18,1025.7,1025,1040.9,1017.85,1040,1038.8,1030.85,8665072,8932367750,196687,4132538,47.69
RELIANCE,EQ,12-Jul-18,1038.8,1044.35,1099,1042.6,1080.9,1082.35,1080.29,24109297,26045070533,383215,8426615,34.95
RELIANCE,EQ,13-Jul-18,1082.35,1080.5,1109,1080,1101,1099.8,1098.67,17967282,19740145320,288822,6936199,38.6
RELIANCE,EQ,16-Jul-18,1099.8,1099.8,1108.9,1073.05,1078.65,1076.2,1082.43,6595781,7139494129,140095,2315158,35.1
RELIANCE,EQ,17-Jul-18,1076.2,1078.3,1095.95,1069.6,1094,1092.35,1085.22,6469256,7020568951,145535,2479774,38.33
RELIANCE,EQ,18-Jul-18,1092.35,1098.4,1104.6,1077.3,1093.3,1092.55,1091.64,4682099,5111167211,110961,1252943,26.76
RELIANCE,EQ,19-Jul-18,1092.55,1093.3,1115,1086.35,1114.35,1104.85,1098.53,5433617,5968998931,193943,2239525,41.22
RELIANCE,EQ,20-Jul-18,1104.85,1113.4,1138.5,1111.9,1127.65,1128.65,1125.34,8018150,9023164649,203126,2628164,32.78
RELIANCE,EQ,23-Jul-18,1128.65,1129.8,1129.8,1113.1,1120.5,1120.3,1119.33,5842496,6539660893,100779,3433559,58.77
RELIANCE,EQ,24-Jul-18,1120.3,1122,1126.75,1107.4,1111,1110.95,1115.46,4469144,4985132840,150186,2148011,48.06
RELIANCE,EQ,25-Jul-18,1110.95,1110,1123,1104.2,1112.65,1115.15,1116.21,5949680,6641092565,121293,3074960,51.68
RELIANCE,EQ,26-Jul-18,1115.15,1110.1,1121.5,1107.8,1112.1,1110.65,1113.9,6424867,7156685848,131788,4020019,62.57
RELIANCE,EQ,27-Jul-18,1110.65,1119.5,1137.4,1112.15,1128,1129.85,1127.43,6679468,7530602219,140124,2217077,33.19
RELIANCE,EQ,30-Jul-18,1129.85,1130,1157.3,1128,1152,1151.4,1143.36,13872467,15861210912,221335,6108940,44.04
RELIANCE,EQ,31-Jul-18,1151.4,1151,1190.4,1147.15,1184.15,1186,1171.82,13875377,16259510329,207197,5751741,41.45
RELIANCE,EQ,1-Aug-18,1186,1190.4,1202.9,1185.4,1188.7,1192.35,1193.58,9704295,11582816350,174970,3037359,31.3
RELIANCE,EQ,2-Aug-18,1192.35,1191.5,1191.5,1165.95,1169.1,1168.35,1174.13,6248975,7337117555,147732,2437701,39.01
RELIANCE,EQ,3-Aug-18,1168.35,1175,1183.5,1169.55,1175.4,1176.95,1175.98,6645397,7814873536,155679,3103032,46.69
RELIANCE,EQ,6-Aug-18,1176.95,1176.7,1196,1175.35,1194.45,1192.6,1188.86,4016418,4774942205,96976,1410496,35.12
RELIANCE,EQ,7-Aug-18,1192.6,1194.9,1201.4,1177,1184.7,1184.2,1186.35,4059460,4815955315,104725,1487015,36.63
RELIANCE,EQ,8-Aug-18,1184.2,1185,1222.5,1185,1220.8,1217.7,1204.7,7912437,9532113812,166500,2923306,36.95
RELIANCE,EQ,9-Aug-18,1217.7,1221.5,1231.7,1212,1218.5,1217.95,1221.41,6846928,8362923499,135398,2921760,42.67
RELIANCE,EQ,10-Aug-18,1217.95,1211,1215,1202.3,1204,1204.2,1207.99,3581210,4326050846,97265,1461098,40.8
RELIANCE,EQ,13-Aug-18,1204.2,1197.55,1199.95,1182.7,1189.5,1187.7,1191.83,4668159,5563673323,134889,2275557,48.75
RELIANCE,EQ,14-Aug-18,1187.7,1190,1217.2,1184.3,1211.9,1210.6,1203.27,5299536,6376786745,107665,1807539,34.11
RELIANCE,EQ,16-Aug-18,1210.6,1203.25,1216,1195.5,1200,1200.8,1204.69,5982490,7207048818,134533,2599428,43.45
RELIANCE,EQ,17-Aug-18,1200.8,1209,1215.4,1200.05,1202.65,1203.75,1208.89,3830992,4631245214,82052,1369817,35.76
RELIANCE,EQ,20-Aug-18,1203.75,1207.9,1236.8,1207.65,1235.15,1234.9,1227.54,7607036,9337924806,187210,3757248,49.39
RELIANCE,EQ,21-Aug-18,1234.9,1237.25,1251.5,1227,1246.7,1247.2,1244.28,7279641,9057941732,145104,3175536,43.62
RELIANCE,EQ,23-Aug-18,1247.2,1246.3,1274,1238.4,1266.9,1269.45,1259.12,7968123,10032803693,170316,3223808,40.46
RELIANCE,EQ,24-Aug-18,1269.45,1265.25,1279.95,1260.05,1277,1277.5,1271.78,6652005,8459873415,127779,2081971,31.3
RELIANCE,EQ,27-Aug-18,1277.5,1279.4,1295.85,1278.75,1292,1291.5,1290.31,5572177,7189818654,122788,2230945,40.04
RELIANCE,EQ,28-Aug-18,1291.5,1296,1323,1295,1322.5,1319,1311.31,8694751,11401552158,179953,2737776,31.49
RELIANCE,EQ,29-Aug-18,1319,1316.3,1329,1290.2,1293.9,1294.2,1309.99,11077203,14511006064,188973,5194828,46.9
RELIANCE,EQ,30-Aug-18,1294.2,1293.6,1297.15,1270.45,1277,1274.45,1278.51,9850042,12593407357,178483,4318202,43.84
RELIANCE,EQ,31-Aug-18,1274.45,1270,1270,1236.6,1238.95,1241.65,1247.15,15305857,19088657884,283195,9238143,60.36
RELIANCE,EQ,3-Sep-18,1241.65,1245,1257.9,1226.05,1228.1,1229.15,1241.4,12200022,15145106276,210884,5112877,41.91
RELIANCE,EQ,4-Sep-18,1229.15,1235.15,1254.8,1229,1245.3,1241.95,1241.44,8838770,10972780661,201777,2413230,27.3
RELIANCE,EQ,5-Sep-18,1241.95,1242.5,1252.65,1208.5,1226,1227,1230.06,10324923,12700281573,197839,4149062,40.18
RELIANCE,EQ,6-Sep-18,1227,1230.15,1265.7,1225.35,1261,1261.4,1245.01,11195043,13937952450,212381,4006564,35.79
RELIANCE,EQ,7-Sep-18,1261.4,1264.9,1281.35,1254.5,1277.05,1278.6,1272.05,10692787,13601744826,195122,4693947,43.9
RELIANCE,EQ,10-Sep-18,1278.6,1275,1277,1250.1,1254.4,1255.85,1263.51,7059008,8919156488,158438,2590230,36.69
RELIANCE,EQ,11-Sep-18,1255.85,1259,1268.4,1234.25,1236.5,1237.7,1248.31,10874768,13575108097,158160,2822017,25.95
RELIANCE,EQ,12-Sep-18,1237.7,1251.8,1258.7,1228.85,1251.1,1252.5,1243.62,8065553,10030498343,173096,2060692,25.55
RELIANCE,EQ,14-Sep-18,1252.5,1259.4,1275.6,1247.65,1252.55,1253.15,1258.4,7878583,9914404021,171172,3669268,46.57
RELIANCE,EQ,17-Sep-18,1253.15,1250.75,1250.75,1221.6,1224,1225.9,1232.59,6754086,8325041898,160893,2267155,33.57
RELIANCE,EQ,18-Sep-18,1225.9,1226,1239.4,1214.35,1215.4,1217.15,1228.49,7616412,9356664028,157438,2748827,36.09
RELIANCE,EQ,19-Sep-18,1217.15,1224,1224,1201,1212.95,1210.75,1214.62,11265786,13683609850,184306,4748466,42.15
RELIANCE,EQ,21-Sep-18,1210.75,1219,1237.4,1183.5,1216.2,1217.5,1223.31,19070172,23328775723,269984,10515967,55.14
RELIANCE,EQ,24-Sep-18,1217.5,1214.45,1239.9,1204.5,1234.55,1232.05,1225.23,10102589,12378019783,165515,4847608,47.98
RELIANCE,EQ,25-Sep-18,1232.05,1235.5,1245,1195,1229.75,1230.6,1226.67,9715020,11917120826,243108,3878485,39.92
RELIANCE,EQ,26-Sep-18,1230.6,1239,1253.95,1227.15,1253.5,1251.4,1239.18,6396828,7926846393,136937,2528972,39.53
RELIANCE,EQ,27-Sep-18,1251.4,1255,1263,1237.5,1252.05,1253.75,1252.61,10808749,13539185467,203082,5522509,51.09
RELIANCE,EQ,28-Sep-18,1253.75,1259.9,1271.7,1247.3,1254.35,1257.95,1259.94,11073023,13951369741,193793,6069287,54.81
RELIANCE,EQ,1-Oct-18,1257.95,1257.7,1257.7,1204,1235.6,1231.7,1231.68,7332693,9031562081,186000,2736679,37.32
RELIANCE,EQ,3-Oct-18,1231.7,1229.5,1239.6,1200.05,1201.2,1205.1,1218.04,7376575,8984957811,200180,3256864,44.15
RELIANCE,EQ,4-Oct-18,1205.1,1189.5,1190.4,1106,1108.5,1122.25,1140.4,23212443,26471556957,456572,8775930,37.81
RELIANCE,EQ,5-Oct-18,1122.25,1099.5,1115.3,1038.15,1049,1048.85,1079.24,21943190,23681863862,439992,9233066,42.08
RELIANCE,EQ,8-Oct-18,1048.85,1050,1117,1025.55,1110,1109.4,1082.04,24679428,26704181032,480539,7274941,29.48
RELIANCE,EQ,9-Oct-18,1109.4,1121.65,1123.3,1081.2,1083,1090.05,1105.24,10991196,12147885882,247463,2649182,24.1
RELIANCE,EQ,10-Oct-18,1090.05,1093.9,1115.85,1084.3,1103,1102.1,1101.57,9502176,10467314926,215681,3098938,32.61
RELIANCE,EQ,11-Oct-18,1102.1,1064,1114.75,1043,1090,1087.8,1086.1,13224172,14362719399,278072,4793025,36.24
RELIANCE,EQ,12-Oct-18,1087.8,1104.95,1129,1101.9,1125.5,1126.55,1121.38,9058536,10158064313,192795,3444135,38.02
RELIANCE,EQ,15-Oct-18,1126.55,1129.9,1146.9,1118.15,1137.75,1139.75,1136.88,8871776,10086128972,200369,3286277,37.04
RELIANCE,EQ,16-Oct-18,1139.75,1146,1167.4,1140,1166,1163.8,1154.23,7478601,8632001461,153398,2436006,32.57
RELIANCE,EQ,17-Oct-18,1163.8,1179,1179.35,1140,1151,1151.3,1166.52,12785646,14914670103,203752,5683158,44.45
RELIANCE,EQ,19-Oct-18,1151.3,1100,1111,1070.25,1100.3,1101.3,1092.05,25421229,27761323831,526528,11760364,46.26
RELIANCE,EQ,22-Oct-18,1101.3,1110,1114.8,1057.35,1063.2,1062.65,1084.3,13165542,14275380337,324137,5575032,42.35
RELIANCE,EQ,23-Oct-18,1062.65,1052.75,1064.7,1043.65,1061.7,1054.7,1053.27,10573730,11137009298,232603,4935700,46.68
RELIANCE,EQ,24-Oct-18,1054.7,1074.9,1075.95,1031.4,1049,1045.75,1050.33,13655337,14342542137,218013,6374934,46.68
RELIANCE,EQ,25-Oct-18,1045.75,1036,1040.65,1016.4,1037.8,1030.8,1029.24,14096237,14508429668,233601,5933721,42.09
RELIANCE,EQ,26-Oct-18,1030.8,1032.9,1057,1022,1042.45,1044.9,1043.01,9182613,9577513897,214886,2807996,30.58
RELIANCE,EQ,29-Oct-18,1044.9,1046,1093.85,1046,1089,1087.8,1069.59,7671807,8205700905,169046,2524165,32.9
RELIANCE,EQ,30-Oct-18,1087.8,1085.5,1085.5,1052.1,1056.9,1057,1065.23,8806701,9381128112,187775,3419851,38.83
RELIANCE,EQ,31-Oct-18,1057,1059,1065.85,1047,1058.2,1061.25,1059.51,16457691,17437021868,198506,7878322,47.87
